mjd,seed,fs_hz,duration_s,noise_std,threshold_sigma,threshold,h0,f_gw_hz,tau_s,t0_s,snr_before,snr_after,gated_fraction
59942,123,4096,60,5e-23,8.0,3.998009872088356e-22,3.46e-21,200.0,0.3,30.0,70.00645697734741,7.992639590548629,0.0076904296875
59942,124,4096,60,5e-23,8.0,3.9936729304295683e-22,3.46e-21,200.0,0.3,30.0,70.6517720618278,7.999146351147175,0.007731119791666667
59942,125,4096,60,5e-23,8.0,4.009101573894585e-22,3.46e-21,200.0,0.3,30.0,68.59871286894344,7.994579806736735,0.007796223958333333
59942,126,4096,60,5e-23,8.0,4.001899771807856e-22,3.46e-21,200.0,0.3,30.0,70.32367206584885,7.9949715715663645,0.0078125
59942,127,4096,60,5e-23,8.0,4.000620629732537e-22,3.46e-21,200.0,0.3,30.0,71.80596479317603,7.997916243946748,0.00780029296875
59942,128,4096,60,5e-23,8.0,4.003431291995513e-22,3.46e-21,200.0,0.3,30.0,69.22009496790474,7.988762383145187,0.007718912760416667
59942,129,4096,60,5e-23,8.0,3.9926023928032347e-22,3.46e-21,200.0,0.3,30.0,69.38786367736782,7.995017698578334,0.007698567708333334
59942,130,4096,60,5e-23,8.0,3.996760487920666e-22,3.46e-21,200.0,0.3,30.0,70.15308479152532,7.986846970890203,0.007771809895833333
59942,131,4096,60,5e-23,8.0,3.9958788967457103e-22,3.46e-21,200.0,0.3,30.0,69.89996752869443,7.994828686761694,0.00775146484375
59942,132,4096,60,5e-23,8.0,4.001676868100032e-22,3.46e-21,200.0,0.3,30.0,68.57686398525999,7.984820073054244,0.007771809895833333
59942,133,4096,60,5e-23,8.0,3.995636197295752e-22,3.46e-21,200.0,0.3,30.0,69.05262046982283,7.993925737556145,0.00771484375
59942,134,4096,60,5e-23,8.0,3.990430336088528e-22,3.46e-21,200.0,0.3,30.0,71.63945758929368,7.997170241547121,0.007731119791666667
59942,135,4096,60,5e-23,8.0,3.98885189107872e-22,3.46e-21,200.0,0.3,30.0,69.76869332895741,7.999334829188074,0.007710774739583333
59942,136,4096,60,5e-23,8.0,3.996999499401761e-22,3.46e-21,200.0,0.3,30.0,70.32754468719764,7.999417186195361,0.0076944986979166664
59942,137,4096,60,5e-23,8.0,4.00028436420678e-22,3.46e-21,200.0,0.3,30.0,68.6498094298088,7.9986648007167975,0.00772705078125
59942,138,4096,60,5e-23,8.0,3.989708652346503e-22,3.46e-21,200.0,0.3,30.0,68.45673673271914,7.9942498992500814,0.007784016927083333
59942,139,4096,60,5e-23,8.0,3.998166678383832e-22,3.46e-21,200.0,0.3,30.0,69.9326928006928,7.998523520609963,0.007710774739583333
59942,140,4096,60,5e-23,8.0,3.9966619441166485e-22,3.46e-21,200.0,0.3,30.0,69.45084795667772,7.998204203444536,0.007731119791666667
59942,141,4096,60,5e-23,8.0,4.006839119091162e-22,3.46e-21,200.0,0.3,30.0,69.33264700871067,7.990273145013196,0.007718912760416667
59942,142,4096,60,5e-23,8.0,3.9954829211669206e-22,3.46e-21,200.0,0.3,30.0,67.76259955786043,7.98123010087498,0.007666015625
59942,143,4096,60,5e-23,8.0,4.0006371794849984e-22,3.46e-21,200.0,0.3,30.0,68.9383971681725,7.99545906477684,0.00770263671875
59942,144,4096,60,5e-23,8.0,3.99355526097355e-22,3.46e-21,200.0,0.3,30.0,68.69812053053244,7.998805566201719,0.007731119791666667
59942,145,4096,60,5e-23,8.0,4.00402458823224e-22,3.46e-21,200.0,0.3,30.0,69.95254613928016,7.991456643754141,0.00777587890625
59942,146,4096,60,5e-23,8.0,4.0120517439812606e-22,3.46e-21,200.0,0.3,30.0,69.43827506406454,7.99919016439071,0.00771484375
59942,147,4096,60,5e-23,8.0,3.996985259200376e-22,3.46e-21,200.0,0.3,30.0,68.56980957799222,7.997863123661455,0.007682291666666666
59942,148,4096,60,5e-23,8.0,3.9984099989666795e-22,3.46e-21,200.0,0.3,30.0,68.88031317332899,7.997743381335694,0.007759602864583334
59942,149,4096,60,5e-23,8.0,3.995094534543705e-22,3.46e-21,200.0,0.3,30.0,68.30743650231771,7.996714865985616,0.007674153645833333
59942,150,4096,60,5e-23,8.0,3.994839527187223e-22,3.46e-21,200.0,0.3,30.0,68.99604527054345,7.994155802564998,0.007784016927083333
59942,151,4096,60,5e-23,8.0,3.998882052312038e-22,3.46e-21,200.0,0.3,30.0,69.42669693726363,7.996382918044097,0.007743326822916666
